postal_code,#restaurant,#good_item,filtered_item
19102,9,43,"['udon noodle salad', 'burrito', 'vegpizza', 'home fries', 'curry tofu wrap', 'spinach salad', 'meat substitutes', 'potato salad', 'coffee', 'beet salad', 'Caesar salad', 'brussel sprouts', 'spring roll', 'dessert', 'cake', 'chocolate chip cookie']"
19103,29,48,"['udon noodle salad', 'burrito', 'vegpizza', 'home fries', 'curry tofu wrap', 'spinach salad', 'meat substitutes', 'potato salad', 'coffee', 'beet salad', 'Caesar salad', 'brussel sprouts', 'spring roll', 'dessert', 'cake', 'chocolate chip cookie']"
19103,18,48,"['udon noodle salad', 'burrito', 'vegpizza', 'home fries', 'curry tofu wrap', 'spinach salad', 'meat substitutes', 'potato salad', 'coffee', 'beet salad', 'Caesar salad', 'brussel sprouts', 'spring roll', 'dessert', 'cake', 'chocolate chip cookie']"
19106,10,44,"['udon noodle salad', 'burrito', 'vegpizza', 'home fries', 'curry tofu wrap', 'spinach salad', 'meat substitutes', 'potato salad', 'coffee', 'beet salad', 'Caesar salad', 'brussel sprouts', 'spring roll', 'dessert', 'cake', 'chocolate chip cookie']"
19107,33,46,"['udon noodle salad', 'burrito', 'vegpizza', 'home fries', 'curry tofu wrap', 'spinach salad', 'meat substitutes', 'potato salad', 'coffee', 'beet salad', 'Caesar salad', 'brussel sprouts', 'spring roll', 'dessert', 'cake', 'chocolate chip cookie']"
19107,32,46,"['udon noodle salad', 'burrito', 'vegpizza', 'home fries', 'curry tofu wrap', 'spinach salad', 'meat substitutes', 'potato salad', 'coffee', 'beet salad', 'Caesar salad', 'brussel sprouts', 'spring roll', 'dessert', 'cake', 'chocolate chip cookie']"
19119,5,26,"['udon noodle salad', 'burrito', 'vegpizza', 'home fries', 'curry tofu wrap', 'spinach salad', 'meat substitutes', 'potato salad', 'coffee', 'beet salad', 'Caesar salad', 'brussel sprouts', 'spring roll', 'dessert', 'cake', 'chocolate chip cookie']"
19122,5,47,"['udon noodle salad', 'vegpizza', 'home fries', 'curry tofu wrap', 'spinach salad', 'meat substitutes', 'potato salad', 'coffee', 'beet salad', 'Caesar salad', 'brussel sprouts', 'spring roll', 'dessert', 'cake', 'chocolate chip cookie']"
19125,8,23,"['udon noodle salad', 'burrito', 'vegpizza', 'home fries', 'curry tofu wrap', 'spinach salad', 'meat substitutes', 'potato salad', 'coffee', 'beet salad', 'Caesar salad', 'brussel sprouts', 'spring roll', 'dessert', 'cake']"
19130,11,45,"['udon noodle salad', 'burrito', 'vegpizza', 'home fries', 'curry tofu wrap', 'spinach salad', 'meat substitutes', 'potato salad', 'coffee', 'beet salad', 'Caesar salad', 'brussel sprouts', 'spring roll', 'dessert', 'cake', 'chocolate chip cookie']"
19143,14,42,"['udon noodle salad', 'vegpizza', 'home fries', 'curry tofu wrap', 'spinach salad', 'meat substitutes', 'potato salad', 'coffee', 'beet salad', 'Caesar salad', 'brussel sprouts', 'spring roll', 'dessert', 'cake']"
19144,5,9,"['udon noodle salad', 'vegpizza', 'curry tofu wrap', 'spinach salad', 'meat substitutes', 'potato salad', 'coffee', 'Caesar salad', 'spring roll', 'dessert']"
19145,9,34,"['udon noodle salad', 'vegpizza', 'curry tofu wrap', 'spinach salad', 'meat substitutes', 'potato salad', 'coffee', 'beet salad', 'Caesar salad', 'brussel sprouts', 'spring roll', 'dessert']"
19146,9,41,"['udon noodle salad', 'coffee', 'dessert', 'curry tofu wrap']"
19147,43,48,"['udon noodle salad', 'vegpizza', 'curry tofu wrap', 'spinach salad', 'meat substitutes', 'potato salad', 'coffee', 'Caesar salad', 'brussel sprouts', 'spring roll', 'dessert']"
19148,7,28,"['udon noodle salad', 'burrito', 'vegpizza', 'home fries', 'curry tofu wrap', 'spinach salad', 'meat substitutes', 'potato salad', 'coffee', 'beet salad', 'Caesar salad', 'brussel sprouts', 'spring roll', 'dessert', 'cake', 'chocolate chip cookie']"
